ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPM
737657,936,109633,45-49,M,18,7478,2,2.90,1,1,0.00026745,1.45,0.000388
737658,936,109633,45-49,M,18,4919,1,1.59,1,0,0.00020329,1.59,0.000323
737674,936,109637,45-49,M,20,533,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
737766,936,109659,45-49,M,29,1447,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
737896,936,109689,30-34,F,16,17553,3,4.59,1,0,0.00017091,1.53,0.000261
737931,936,109698,30-34,F,20,3343,1,0.54,1,0,0.00029913,0.54,0.000162
737961,936,109706,30-34,F,23,523,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
737995,936,109714,30-34,F,26,1873,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
738006,936,109717,30-34,F,27,34740,7,13.41,1,1,0.00020150,1.92,0.000386
738067,936,109731,30-34,F,32,658,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
738098,936,109738,30-34,F,64,1539,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
738307,936,109788,35-39,F,31,3010,1,0.86,1,1,0.00033223,0.86,0.000286
738389,936,109808,40-44,F,10,27081,9,10.77,1,1,0.00033234,1.20,0.000398
738408,936,109813,40-44,F,16,20233,4,5.59,3,0,0.00019770,1.40,0.000276
738413,936,109813,40-44,F,16,147159,36,58.16,3,1,0.00024463,1.62,0.000395
738423,936,109816,40-44,F,18,21664,7,10.62,1,1,0.00032312,1.52,0.000490
738436,936,109820,40-44,F,19,9112,4,5.46,1,1,0.00043898,1.37,0.000599
738463,936,109826,40-44,F,21,542,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
738528,936,109839,40-44,F,30,402,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
738560,936,109844,40-44,F,64,1338,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
738582,936,109848,45-49,F,10,46150,15,20.18,1,1,0.00032503,1.35,0.000437
738592,936,109850,45-49,F,16,493821,116,176.38,4,1,0.00023490,1.52,0.000357
738593,936,109850,45-49,F,16,92011,27,34.39,2,1,0.00029344,1.27,0.000374
738598,936,109851,45-49,F,18,12956,4,5.49,1,1,0.00030874,1.37,0.000424
738606,936,109852,45-49,F,19,529,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
738637,936,109857,45-49,F,24,944,1,1.42,1,0,0.00105932,1.42,0.001504
738648,936,109859,45-49,F,26,111090,38,51.97,5,1,0.00034206,1.37,0.000468
747212,936,110836,30-34,M,10,7208,2,3.19,1,0,0.00027747,1.60,0.000443
747213,936,110836,30-34,M,10,1746,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
747220,936,110837,30-34,M,15,2474,0,0.00,2,2,0.00000000,#DIV/0!,0.000000
747222,936,110838,30-34,M,16,12489,2,1.96,1,0,0.00016014,0.98,0.000157
747223,936,110838,30-34,M,16,8032,1,0.60,2,0,0.00012450,0.60,0.000075
747248,936,110842,30-34,M,21,472,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747332,936,110856,30-34,M,64,792,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747362,936,110861,35-39,M,15,4607,1,1.15,1,1,0.00021706,1.15,0.000250
747369,936,110862,35-39,M,16,13355,2,3.18,1,1,0.00014976,1.59,0.000238
747370,936,110862,35-39,M,16,2936,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
747401,936,110867,35-39,M,22,2793,1,0.98,1,1,0.00035804,0.98,0.000351
747435,936,110873,35-39,M,28,1032,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
747439,936,110874,35-39,M,29,1662,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747489,936,110882,40-44,M,2,4016,2,1.48,1,1,0.00049801,0.74,0.000369
747514,936,110886,40-44,M,16,14843,3,2.94,1,1,0.00020212,0.98,0.000198
747645,936,110908,45-49,M,10,9674,3,4.60,1,1,0.00031011,1.53,0.000476
747659,936,110910,45-49,M,16,12186,2,2.67,1,0,0.00016412,1.33,0.000219
747675,936,110913,45-49,M,20,673,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
747678,936,110914,45-49,M,21,370,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747712,936,110919,45-49,M,26,450,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747790,936,110932,30-34,F,10,2077,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747791,936,110932,30-34,F,10,31393,8,10.96,1,1,0.00025483,1.37,0.000349
747795,936,110933,30-34,F,15,8410,2,2.36,1,1,0.00023781,1.18,0.000281
747798,936,110934,30-34,F,16,25884,5,7.35,1,0,0.00019317,1.47,0.000284
747824,936,110938,30-34,F,21,608,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747828,936,110939,30-34,F,22,28488,10,9.34,1,0,0.00035102,0.93,0.000328
747852,936,110943,30-34,F,26,10126,3,4.62,1,0,0.00029627,1.54,0.000456
747859,936,110944,30-34,F,27,22572,5,8.50,1,0,0.00022151,1.70,0.000377
747863,936,110944,30-34,F,27,1955,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747879,936,110947,30-34,F,30,493,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
747903,936,110951,30-34,F,63,1491,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747911,936,110952,30-34,F,64,1495,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
747968,936,110962,35-39,F,21,512,0,0.00,0,0,0.00000000,#DIV/0!,0.000000
747991,936,110966,35-39,F,25,4868,2,2.42,1,0,0.00041085,1.21,0.000497
748000,936,110967,35-39,F,26,6585,2,2.95,1,0,0.00030372,1.48,0.000448
748007,936,110968,35-39,F,27,10164,2,3.72,1,1,0.00019677,1.86,0.000366
748014,936,110970,35-39,F,29,11182,4,4.45,1,0,0.00035772,1.11,0.000398
748045,936,110975,35-39,F,63,1238,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
748086,936,110982,40-44,F,16,34127,8,13.07,1,0,0.00023442,1.63,0.000383
748087,936,110982,40-44,F,16,29466,7,10.85,2,0,0.00023756,1.55,0.000368
748089,936,110982,40-44,F,16,38759,9,10.85,1,0,0.00023220,1.21,0.000280
748091,936,110982,40-44,F,16,41720,10,12.06,1,1,0.00023969,1.21,0.000289
748225,936,111005,45-49,F,15,18602,5,8.86,1,0,0.00026879,1.77,0.000476
748230,936,111006,45-49,F,16,83929,21,27.73,4,1,0.00025021,1.32,0.000330
748231,936,111006,45-49,F,16,25194,6,7.35,1,0,0.00023815,1.22,0.000292
748233,936,111006,45-49,F,16,78627,19,26.53,1,0,0.00024165,1.40,0.000337
748235,936,111006,45-49,F,16,102695,25,39.43,3,0,0.00024344,1.58,0.000384
748294,936,111016,45-49,F,27,82827,24,47.93,3,0,0.00028976,2.00,0.000579
748295,936,111016,45-49,F,27,9240,3,6.04,1,0,0.00032468,2.01,0.000654
748303,936,111018,45-49,F,29,7706,2,2.37,1,0,0.00025954,1.18,0.000308
748314,936,111020,45-49,F,31,7821,4,6.34,1,1,0.00051144,1.59,0.000811
748341,936,111024,45-49,F,64,1363,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
776318,936,115484,45-49,F,15,3569,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
776322,936,115485,45-49,F,16,119063,34,53.22,1,0,0.00028556,1.57,0.000447
776323,936,115485,45-49,F,16,99078,23,35.80,2,0,0.00023214,1.56,0.000361
776325,936,115485,45-49,F,16,452398,114,180.22,1,0,0.00025199,1.58,0.000398
776334,936,115487,45-49,F,10,191223,48,76.41,1,0,0.00025102,1.59,0.000400
776336,936,115487,45-49,F,10,22216,6,9.55,1,0,0.00027008,1.59,0.000430
776338,936,115487,45-49,F,10,48291,11,18.02,1,0,0.00022779,1.64,0.000373
776353,936,115490,40-44,F,63,27559,8,13.37,1,0,0.00029029,1.67,0.000485
776373,936,115493,45-49,F,25,10194,4,4.59,2,1,0.00039239,1.15,0.000450
776383,936,115495,45-49,F,23,1168,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
776405,936,115498,45-49,F,21,40126,16,25.86,1,0,0.00039874,1.62,0.000644
776416,936,115500,45-49,F,19,3659,1,0.49,1,1,0.00027330,0.49,0.000134
776430,936,115503,30-34,M,10,3200,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
776464,936,115508,45-49,F,29,7550,1,1.68,1,1,0.00013245,1.68,0.000223
776469,936,115509,45-49,F,28,45397,15,25.42,1,1,0.00033042,1.69,0.000560
776473,936,115510,30-34,M,16,23086,2,3.31,1,1,0.00008663,1.66,0.000143
776475,936,115510,30-34,M,16,16425,1,1.55,1,0,0.00006088,1.55,0.000094
776476,936,115510,30-34,M,16,43756,5,5.44,0,0,0.00011427,1.09,0.000124
776477,936,115510,30-34,M,16,9982,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
776489,936,115512,45-49,F,26,175389,55,81.61,1,0,0.00031359,1.48,0.000465
776494,936,115513,30-34,M,15,7015,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
776515,936,115517,45-49,F,65,12706,3,4.99,1,1,0.00023611,1.66,0.000393
776519,936,115517,45-49,F,65,70702,20,31.71,1,0,0.00028288,1.59,0.000449
776533,936,115520,45-49,F,63,63927,16,25.52,2,0,0.00025029,1.60,0.000399
776534,936,115520,45-49,F,63,15105,3,4.26,1,0,0.00019861,1.42,0.000282
776538,936,115521,30-34,F,15,8774,1,1.83,1,0,0.00011397,1.83,0.000209
776551,936,115523,30-34,F,16,14459,1,1.39,1,0,0.00006916,1.39,0.000096
776552,936,115523,30-34,F,16,21596,2,2.81,1,0,0.00009261,1.40,0.000130
776553,936,115523,30-34,F,16,66765,8,11.05,1,0,0.00011982,1.38,0.000166
776563,936,115525,30-34,F,7,1369,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
776579,936,115527,30-34,F,10,26910,5,7.23,1,0,0.00018580,1.45,0.000269
776603,936,115531,30-34,F,2,506,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
776615,936,115533,45-49,M,63,11988,3,4.27,1,0,0.00025025,1.42,0.000356
776623,936,115535,45-49,M,64,19353,6,9.48,1,1,0.00031003,1.58,0.000490
776631,936,115536,40-44,M,29,10960,2,2.89,1,0,0.00018248,1.45,0.000264
776643,936,115538,30-34,M,15,33491,6,10.57,2,1,0.00017915,1.76,0.000316
776644,936,115538,30-34,M,15,20083,2,3.20,2,1,0.00009959,1.60,0.000159
776659,936,115541,30-34,M,16,8817,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
776661,936,115541,30-34,M,16,15466,1,0.97,1,0,0.00006466,0.97,0.000063
776662,936,115541,30-34,M,16,27072,3,4.37,1,0,0.00011082,1.46,0.000161
776663,936,115541,30-34,M,16,15753,1,0.57,1,1,0.00006348,0.57,0.000036
776668,936,115542,40-44,M,19,3523,1,1.81,1,1,0.00028385,1.81,0.000514
776685,936,115545,40-44,M,16,7745,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
776686,936,115545,40-44,M,16,18709,2,3.32,1,0,0.00010690,1.66,0.000177
776687,936,115545,40-44,M,16,8022,0,0.00,2,1,0.00000000,#DIV/0!,0.000000
776696,936,115547,30-34,M,10,7966,1,1.18,1,1,0.00012553,1.18,0.000148
776697,936,115547,30-34,M,10,4132,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
776698,936,115547,30-34,M,10,12785,3,4.73,2,1,0.00023465,1.58,0.000370
776699,936,115547,30-34,M,10,8213,1,1.38,1,1,0.00012176,1.38,0.000168
776722,936,115551,30-34,M,2,545,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
776725,936,115552,40-44,M,23,2479,1,1.26,1,0,0.00040339,1.26,0.000508
776780,936,115561,40-44,M,2,3812,2,3.05,1,0,0.00052466,1.52,0.000800
776793,936,115563,45-49,M,21,1609,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
776799,936,115564,45-49,M,20,10257,3,3.58,1,1,0.00029248,1.19,0.000349
776817,936,115567,40-44,M,10,12356,4,6.28,1,0,0.00032373,1.57,0.000508
776825,936,115568,45-49,M,18,7410,1,1.21,1,0,0.00013495,1.21,0.000163
776829,936,115569,45-49,M,16,140098,28,46.63,1,0,0.00019986,1.67,0.000333
776831,936,115569,45-49,M,16,107021,20,34.44,1,0,0.00018688,1.72,0.000322
776840,936,115571,35-39,M,36,2797,1,1.29,1,0,0.00035753,1.29,0.000461
776861,936,115574,45-49,M,7,16461,6,9.22,1,0,0.00036450,1.54,0.000560
776892,936,115580,40-44,M,63,17488,5,7.72,1,0,0.00028591,1.54,0.000441
776928,936,115586,35-39,M,10,9750,2,1.50,1,1,0.00020513,0.75,0.000154
776935,936,115587,45-49,M,36,1136,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
777105,936,115615,45-49,M,63,4333,1,0.18,1,1,0.00023079,0.18,0.000042
777130,936,115619,35-39,M,16,6260,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
777131,936,115619,35-39,M,16,6359,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
777166,936,115625,30-34,M,63,2383,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
777187,936,115629,40-44,M,27,11292,3,5.39,1,1,0.00026567,1.80,0.000477
777198,936,115631,30-34,M,64,12729,4,5.78,1,0,0.00031424,1.44,0.000454
777200,936,115631,30-34,M,64,1898,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
777201,936,115631,30-34,M,64,1882,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
777235,936,115637,30-34,M,65,2883,1,0.99,1,1,0.00034686,0.99,0.000343
777248,936,115639,30-34,F,7,3989,1,1.28,1,0,0.00025069,1.28,0.000321
777261,936,115641,40-44,M,29,19603,4,5.28,1,1,0.00020405,1.32,0.000269
777382,936,115675,40-44,M,24,3047,1,1.38,1,0,0.00032819,1.38,0.000453
777398,936,115677,35-39,M,24,3029,1,1.05,1,1,0.00033014,1.05,0.000347
777410,936,115679,45-49,M,26,3490,1,1.34,1,1,0.00028653,1.34,0.000384
777482,936,115691,45-49,M,28,2479,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
777495,936,115693,40-44,M,19,19581,7,10.43,2,0,0.00035749,1.49,0.000533
777519,936,115697,45-49,M,29,19537,5,6.10,1,0,0.00025592,1.22,0.000312
777625,936,115715,45-49,M,16,59433,12,19.66,3,0,0.00020191,1.64,0.000331
777627,936,115715,45-49,M,16,157534,33,56.19,2,0,0.00020948,1.70,0.000357
777638,936,115717,40-44,M,7,1781,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
777670,936,115723,40-44,M,16,23769,4,6.03,1,0,0.00016829,1.51,0.000254
777673,936,115723,40-44,M,16,7101,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
777742,936,115735,35-39,M,64,4726,1,1.83,1,1,0.00021160,1.83,0.000387
777758,936,115737,30-34,M,19,5209,1,0.96,2,0,0.00019198,0.96,0.000184
777794,936,115743,30-34,M,18,13473,3,2.62,3,0,0.00022267,0.87,0.000194
777816,936,115747,40-44,M,2,500,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
777871,936,115756,30-34,M,20,4616,1,1.36,1,0,0.00021664,1.36,0.000295
777904,936,115762,30-34,M,31,3279,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
777905,936,115762,30-34,M,31,3288,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
778037,936,115784,35-39,M,27,14615,4,6.05,1,0,0.00027369,1.51,0.000414
778048,936,115786,30-34,M,27,56615,12,19.88,2,0,0.00021196,1.66,0.000351
778085,936,115792,30-34,M,26,11735,3,4.53,1,1,0.00025565,1.51,0.000386
778087,936,115792,30-34,M,26,15910,5,6.78,1,0,0.00031427,1.36,0.000426
778112,936,115796,35-39,M,29,11446,2,3.09,1,1,0.00017473,1.55,0.000270
778113,936,115796,35-39,M,29,4595,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
778124,936,115798,30-34,M,29,4871,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
778148,936,115802,35-39,M,28,3199,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
778156,936,115804,30-34,M,28,9388,2,3.14,1,0,0.00021304,1.57,0.000334
